Nombre de tubería,Descripción,Estilo de tubería,Tipo de pieza,Diámetro nominal,Alineación de referencia,Superficie de referencia,P.K. inicial,Desfase inicial,P.K. final,Desfase final,Cobertura mínima,Cobertura máxima,Abscisa inicial,Ordenada inicial,Abscisa final,Ordenada final,Elevación de eje inicial,Elevación de eje final,Rasante inicial,Rasante final,Elevación de generatriz interior superior inicial,Elevación de generatriz interior superior final,Longitud 2D,Longitud 3D,Orientación,Talud,Radio horizontal,Longitud de cuerda,Abscisa de centro,Ordenada de centro,Radio vertical,Diámetro interior,Diámetro exterior,Grosor de pared,Pieza inicial,Pieza final,Conexiones,Segmentos verticales,Material,Descripción de pieza,Infracciones,Conjuntos de propiedades
Pressure Pipe - (166),Pipe_ DN 200_ PN 16_ [...],Estándar,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,1.000,1.099,368064.5460,4058393.4905,368070.8197,4058401.3822,5.406,5.409,5.306,5.309,5.517,5.520,10.0815,10.0815,"38° 29' 0.914""",-0.03 %,,,,,,0.2000,0.2220,0.0110,Fitting - (153),Fitting - (79),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (168),Pipe_ DN 150_ PN 16_ [...],Estándar,Tubería a presión,150,<Ninguno>,PROPUESTA,,,,,1.085,1.085,367959.3495,4058239.6030,367959.3495,4058239.6030,5.969,5.969,5.894,5.894,6.054,6.054,0.0000,0.0000,"34° 34' 40.587""",0.00 %,,,,,,0.1500,0.1700,0.0100,Fitting - (155),<Ninguno>,2,1,ByLayer,Pipe_ DN 150_ PN 16_ RF,0,0
Pressure Pipe - (169),Pipe_ DN 200_ PN 16_ [...],Estándar,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.948,1.080,368172.1285,4057967.6320,368183.6552,4057983.9733,4.654,4.630,4.554,4.530,4.765,4.741,19.9975,19.9975,"35° 11' 53.031""",0.12 %,,,,,,0.2000,0.2220,0.0110,Fitting - (156),Fitting - (111),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (173),Pipe_ DN 200_ PN 16_ [...],PROPUESTO,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.983,3.047,367740.1402,4057517.5121,367773.8706,4057566.8172,3.903,3.663,3.803,3.563,4.014,3.774,59.7388,59.7393,"34° 22' 36.107""",0.40 %,,,,,,0.2000,0.2220,0.0110,Appurtenance - (1),Fitting - (92),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (174),Pipe_ DN 200_ PN 16_ [...],PROPUESTO,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.992,1.004,367810.7708,4057578.1949,367836.3617,4057562.6650,3.287,3.212,3.187,3.112,3.398,3.323,29.9345,29.9346,"121° 15' 5.568""",0.25 %,,,,,,0.2000,0.2220,0.0110,Fitting - (162),Fitting - (97),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (175),Pipe_ DN 200_ PN 16_ [...],PROPUESTO,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.981,0.998,367946.1455,4057676.7837,367947.2132,4057678.3043,3.196,3.196,3.096,3.096,3.307,3.307,1.8580,1.8580,"35° 4' 29.283""",-0.02 %,,,,,,0.2000,0.2220,0.0110,Fitting - (163),Fitting - (104),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (176),Pipe_ DN 150_ PN 16_ [...],PROPUESTO,Tubería a presión,150,<Ninguno>,PROPUESTA,,,,,0.884,1.212,368171.1166,4057968.0226,368116.3087,4058006.3613,4.721,5.258,4.646,5.183,4.806,5.343,66.8862,66.8884,"304° 58' 23.711""",-0.80 %,,,,,,0.1500,0.1700,0.0100,Appurtenance - (2),Fitting - (115),2,1,ByLayer,Pipe_ DN 150_ PN 16_ RF,0,0
Pressure Pipe - (177),Pipe_ DN 80_ Socketx [...],PROPUESTO,Tubería a presión,80,<Ninguno>,PROPUESTA,,,,,1.000,1.000,367809.9902,4057577.1693,367809.9951,4057577.1774,3.350,3.350,3.310,3.310,3.399,3.399,0.0095,0.0095,"31° 12' 35.514""",0.43 %,,,,,,0.0800,0.0980,0.0090,<Ninguno>,Appurtenance - (3),2,1,ByLayer,Pipe_ DN 80_ SocketxSPIG,0,0
Pressure Pipe - (178),Pipe_ DN 150_ PN 16_ [...],PROPUESTO,Tubería a presión,150,<Ninguno>,PROPUESTA,,,,,1.297,1.354,368039.6857,4058047.0990,368037.6849,4058048.4982,4.845,4.770,4.770,4.695,4.930,4.855,2.4415,2.4426,"304° 57' 58.897""",3.08 %,,,,,,0.1500,0.1700,0.0100,Fitting - (164),<Ninguno>,2,1,ByLayer,Pipe_ DN 150_ PN 16_ RF,0,0
Pressure Pipe - (180),Pipe_ DN 80_ Socketx [...],PROPUESTO,Tubería a presión,80,<Ninguno>,PROPUESTA,,,,,1.323,1.333,368039.8875,4058047.2141,368039.9311,4058047.2764,4.878,4.877,4.838,4.837,4.927,4.926,0.0761,0.0761,"34° 57' 58.897""",0.71 %,,,,,,0.0800,0.0980,0.0090,<Ninguno>,Appurtenance - (5),2,1,ByLayer,Pipe_ DN 80_ SocketxSPIG,0,0
Pressure Pipe - (181),Pipe_ DN 200_ PN 16_ [...],PROPUESTO,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,1.000,1.000,367981.3482,4057697.0061,367984.0353,4057699.5722,3.112,3.127,3.012,3.027,3.223,3.238,3.7156,3.7156,"46° 19' 8.296""",-0.40 %,,,,,,0.2000,0.2220,0.0110,Fitting - (165),Fitting - (166),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
