Nombre de tubería,Descripción,Estilo de tubería,Tipo de pieza,Diámetro nominal,Alineación de referencia,Superficie de referencia,P.K. inicial,Desfase inicial,P.K. final,Desfase final,Cobertura mínima,Cobertura máxima,Abscisa inicial,Ordenada inicial,Abscisa final,Ordenada final,Elevación de eje inicial,Elevación de eje final,Rasante inicial,Rasante final,Elevación de generatriz interior superior inicial,Elevación de generatriz interior superior final,Longitud 2D,Longitud 3D,Orientación,Talud,Radio horizontal,Longitud de cuerda,Abscisa de centro,Ordenada de centro,Radio vertical,Diámetro interior,Diámetro exterior,Grosor de pared,Pieza inicial,Pieza final,Conexiones,Segmentos verticales,Material,Descripción de pieza,Infracciones,Conjuntos de propiedades
Pressure Pipe - (78),Pipe_ DN 200_ PN 16_ [...],Estándar,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.938,1.013,367959.2721,4058239.4863,367981.5923,4058273.1193,6.027,5.749,5.927,5.649,6.138,5.860,40.3654,40.3664,"33° 34' 11.480""",0.69 %,,,,,,0.2000,0.2220,0.0110,Fitting - (74),Fitting - (75),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (79),Pipe_ DN 200_ PN 16_ [...],Estándar,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,1.000,1.007,367981.6357,4058273.1860,368009.4563,4058316.8005,5.749,5.805,5.649,5.705,5.860,5.916,51.7320,51.7321,"32° 31' 57.961""",-0.11 %,,,,,,0.2000,0.2220,0.0110,Fitting - (75),Fitting - (76),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (80),Pipe_ DN 200_ PN 16_ [...],Estándar,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,1.000,1.076,368009.4999,4058316.8671,368036.8363,4058357.3900,5.805,5.636,5.705,5.536,5.916,5.747,48.8814,48.8817,"34° 0' 11.483""",0.35 %,,,,,,0.2000,0.2220,0.0110,Fitting - (76),Fitting - (77),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (81),Pipe_ DN 200_ PN 16_ [...],Estándar,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.959,1.061,368036.8825,4058357.4549,368053.0191,4058378.9888,5.635,5.400,5.535,5.300,5.746,5.511,26.9092,26.9102,"36° 50' 47.136""",0.87 %,,,,,,0.2000,0.2220,0.0110,Fitting - (77),Fitting - (78),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (82),Pipe_ DN 200_ PN 16_ [...],Estándar,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,1.000,1.135,368053.0678,4058379.0519,368064.2225,4058393.0835,5.400,5.406,5.300,5.306,5.511,5.517,17.9252,17.9252,"38° 29' 0.914""",-0.03 %,,,,,,0.2000,0.2220,0.0110,Fitting - (78),Fitting - (153),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (83),Pipe_ DN 200_ PN 16_ [...],Estándar,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,1.000,1.000,368070.8692,4058401.4445,368072.6842,4058403.7324,5.409,5.391,5.309,5.291,5.520,5.502,2.9204,2.9205,"38° 25' 30.225""",0.62 %,,,,,,0.2000,0.2220,0.0110,Fitting - (79),Fitting - (80),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (84),Pipe_ DN 200_ PN 16_ [...],Estándar,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,1.000,1.000,368072.7337,4058403.7948,368085.3422,4058419.6509,5.390,5.265,5.290,5.165,5.501,5.376,20.2581,20.2585,"38° 29' 27.522""",0.62 %,,,,,,0.2000,0.2220,0.0110,Fitting - (80),Fitting - (81),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (85),Pipe_ DN 200_ PN 16_ [...],Estándar,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,1.000,1.000,368085.3930,4058419.7122,368104.9972,4058442.3367,5.265,5.089,5.165,4.989,5.376,5.200,29.9365,29.9370,"40° 54' 32.154""",0.59 %,,,,,,0.2000,0.2220,0.0110,Fitting - (81),Fitting - (82),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (86),Pipe_ DN 200_ PN 16_ [...],Estándar,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,1.000,1.000,368105.0503,4058442.3960,368121.8999,4058460.6137,5.088,4.948,4.988,4.848,5.199,5.059,24.8152,24.8156,"42° 45' 57.114""",0.56 %,,,,,,0.2000,0.2220,0.0110,Fitting - (82),Fitting - (83),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (87),Pipe_ DN 200_ PN 16_ [...],Estándar,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.988,1.000,368121.9549,4058460.6714,368144.7519,4058483.8757,4.948,4.790,4.848,4.690,5.059,4.901,32.5291,32.5295,"44° 29' 33.796""",0.49 %,,,,,,0.2000,0.2220,0.0110,Fitting - (83),Fitting - (84),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
