"Red","NombreOriginal","Shape","Material","Diametro_mm","NodoInicialRaw","NodoFinalRaw","AliasInicial","AliasFinal","TramoBC3","US_Invert_m","DS_Invert_m","LongitudCentro_m","LongitudUtil_m","Pendiente_pct","CodigoBC3","CapituloBC3","Impacta"
"PLUVIALES","Tubería - (109) (1)","Circular","...","250","IM73","EndNullStruct0","IM97","IM02","IM97-IM02","-0.76","-0.94","5.74","5.59","3","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","Tubería - (109) (1) (1)","Circular","...","250","IM74","EndNullStruct1","IM103","IM03","IM103-IM03","-0.76","-0.94","5.74","5.59","3","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","Tubería - (109) (1) (2)","Circular","...","250","IM84","EndNullStruct2","IM102","IM04","IM102-IM04","-0.76","-0.94","5.74","5.59","3","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","Tubería - (109) (1) (1) (1)","Circular","...","250","IM75","EndNullStruct3","IM101","IM05","IM101-IM05","-0.76","-0.94","5.74","5.59","3","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","Tubería - (109) (1) (1) (2)","Circular","...","250","IM76","EndNullStruct4","IM100","IM06","IM100-IM06","-0.76","-0.94","5.74","5.59","3","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","Tubería - (109) (1) (1) (2) (1)","Circular","...","250","IM77","EndNullStruct5","IM17","IM07","IM17-IM07","-0.76","-0.94","5.74","5.59","3","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","Tubería - (109) (1) (1) (2) (2)","Circular","...","250","IM78","IM27","IM14","IM19","IM14-IM19","-0.76","-0.94","11.33","11.03","1.52","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","Tubería - (109) (1) (1) (2) (3)","Circular","...","250","IM79","EndNullStruct6","IM21","IM08","IM21-IM08","-0.76","-0.94","5.74","5.59","3","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","Tubería - (109) (1) (1) (2) (4)","Circular","...","250","IM80","IM28","IM20","IM18","IM20-IM18","-0.76","-0.94","11.41","11.11","1.51","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","Tubería - (109) (1) (1) (2) (5)","Circular","...","250","IM81","EndNullStruct7","IM95","IM09","IM95-IM09","-0.76","-0.94","5.74","5.59","3","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","Tubería - (109) (1) (1) (2) (6)","Circular","...","250","IM82","PP17","IM35","PP17","IM35-PP17","2.64","2.6","19.44","18.79","0.19","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","Tubería - (109) (1) (1) (2) (7)","Circular","...","250","IM83","PP17","IM33","PP17","IM33-PP17","2.64","2.6","19.11","18.46","0.21","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP43-PP44","Circular","...","1000","PP43","PP44","PP43","PP44","PP43-PP44","1.14","1.09","40","39","0.13","REVISAR","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP44-PP45","Circular","...","1000","PP44","PP45","PP44","PP45","PP44-PP45","1.09","1.03","40","39","0.13","REVISAR","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP46-CANAL","Circular","...","1000","PP46","PV02","PP46","IM104","PP46-IM104","1","0.95","39.58","39.08","0.13","REVISAR","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP45-PP46","Circular","...","1000","PP45","PP46","PP45","PP46","PP45-PP46","1.03","1","23.35","22.35","0.13","REVISAR","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
