"Red","CodigoBase","AliasBC3","TipoInterpretado","CodigoBC3_Referencia","DuplicadosMismoCodigo","NombreRepresentativo","TipoOrigen","Tamano","CotaTapa_m","CotaSumidero_m","ProfundidadGeom_m","ProfundidadReportada_m","Observacion"
"PLUVIALES","IM66","IM92","Imbornal / estructura auxiliar","U044879794E3","1","IM66","Rectangular","L:0.70 W:0.30","3.14","2.14","1","0","Criterio actual: no PP = imbornal"
"PLUVIALES","PP45","PP45","Pozo pluvial","UAP0.2-TIPOI","1","PP45","Circular","D:1.00","3.04","1.03","2.01","0","Criterio hidráulico acordado: pozo estándar => TIPO I."
"PLUVIALES","PP46","PP46","Pozo pluvial","UAP0.2-TIPOI","1","PP46","Circular","D:1.00","3.04","1","2.04","0","Criterio hidráulico acordado: pozo estándar => TIPO I."
"PLUVIALES","PP39","PP39","Pozo pluvial","UAP0.2-TIPOI","1","PP39","Circular","D:1.00","2.82","1.12","1.7","0","Criterio hidráulico acordado: pozo estándar => TIPO I."
"PLUVIALES","IM67","IM93","Imbornal / estructura auxiliar","U044879794E3","1","IM67","Rectangular","L:0.70 W:0.30","2.75","0.95","1.8","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM68","IM94","Imbornal / estructura auxiliar","U044879794E3","1","IM68","Rectangular","L:0.70 W:0.30","2.75","1.96","0.79","0","Criterio actual: no PP = imbornal"
"PLUVIALES","PP44","PP44","Pozo pluvial","UAP0.2-TIPOI","1","PP44","Circular","D:1.00","2.68","1.09","1.59","0","Criterio hidráulico acordado: pozo estándar => TIPO I."
"PLUVIALES","PP43","PP43","Pozo pluvial","UAP0.2-TIPOI","1","PP43","Circular","D:1.00","2.54","1.14","1.4","0","Criterio hidráulico acordado: pozo estándar => TIPO I."
"PLUVIALES","PP41","PP41","Pozo pluvial","UAP0.2-TIPOI","1","PP41","Circular","D:1.00","2.53","1.24","1.29","0","Criterio hidráulico acordado: pozo estándar => TIPO I."
"PLUVIALES","IM81","IM95","Imbornal / estructura auxiliar","U044879794E3","1","IM81","Rectangular","L:0.70 W:0.30","2.46","-0.76","3.22","0","Criterio actual: no PP = imbornal"
"PLUVIALES","PP40","PP40","Pozo pluvial","UAP0.2-TIPOI","1","PP40","Circular","D:1.00","2.44","1.04","1.4","0","Criterio hidráulico acordado: pozo estándar => TIPO I."
"PLUVIALES","IM71","IM96","Imbornal / estructura auxiliar","U044879794E3","1","IM71","Rectangular","L:0.70 W:0.30","2.39","1.76","0.63","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM73","IM97","Imbornal / estructura auxiliar","U044879794E3","1","IM73","Rectangular","L:0.70 W:0.30","2.38","-0.76","3.14","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM69","IM98","Imbornal / estructura auxiliar","U044879794E3","1","IM69","Rectangular","L:0.70 W:0.30","2.36","0.87","1.49","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM70","IM99","Imbornal / estructura auxiliar","U044879794E3","1","IM70","Rectangular","L:0.70 W:0.30","2.36","1.77","0.59","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM76","IM100","Imbornal / estructura auxiliar","U044879794E3","1","IM76","Rectangular","L:0.70 W:0.30","2.22","-0.76","2.98","0","Criterio actual: no PP = imbornal"
"PLUVIALES","PP42","PP42","Pozo pluvial","UAP0.5-TIPOII","1","PP42","Circular","D:1.00","2.13","1.19","0.94","0","Criterio hidráulico acordado: nodo singular => TIPO II."
"PLUVIALES","IM75","IM101","Imbornal / estructura auxiliar","U044879794E3","1","IM75","Rectangular","L:0.70 W:0.30","2.03","-0.76","2.79","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM84","IM102","Imbornal / estructura auxiliar","U044879794E3","1","IM84","Rectangular","L:0.70 W:0.30","1.98","-0.76","2.74","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM74","IM103","Imbornal / estructura auxiliar","U044879794E3","1","IM74","Rectangular","L:0.70 W:0.30","1.8","-0.76","2.56","0","Criterio actual: no PP = imbornal"
"PLUVIALES","PV02","IM104","Imbornal / estructura auxiliar","U044879794E3","1","PV02","Rectangular","L:3.00 W:2.00","0","-1.76",,"1.76","Criterio actual: no PP = imbornal"
