Distancia de tramo de tubería,Nombre de pieza,Tipo de pieza,Abscisa,Ordenada,Rasante,Elevación de eje,Elevación de generatriz interior superior,Talud,Orientación/ángulo,Perfil de superficie,Elevación del perfil de superficie,Radio horizontal,Radio vertical,Nombre del tramo de tubería,Comparar con,P.K. comparado,Abscisa comparada,Ordenada comparada,Elevación comparada,Desfase comparado (XY),Desfase comparado (Z),Pendiente comparada,origen_fd,pieza_id
0+301.08,Fitting - (163),Unión en T,367946.0869,4057676.7002,,3.196,,,,<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,163
0+303.08,Fitting - (104),Codo,367947.2362,4057678.3370,,3.196,,,,<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,104
0+309.58,Fitting - (105),Codo,367951.9310,4057682.8189,,3.059,,,,<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,105
0+310.00,Pressure Pipe - (111),Tubería a presión,367952.2943,4057683.0382,2.958,3.058,3.169,0.17 %,"58° 57' 4.916""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,111
0+320.00,Pressure Pipe - (111),Tubería a presión,367960.8616,4057688.1959,2.941,3.041,3.152,0.17 %,"58° 57' 4.916""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,111
0+323.04,Fitting - (106),Codo,367963.4685,4057689.7652,,3.036,,,,<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,106
0+330.00,Pressure Pipe - (112),Tubería a presión,367970.0144,4057692.1218,2.963,3.063,3.174,-0.39 %,"70° 12' 4.916""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,112
0+338.56,Fitting - (107),Codo,367978.0674,4057695.0208,,3.097,,,,<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,107
0+340.00,Pressure Pipe - (113),Tubería a presión,367979.3020,4057695.7641,3.002,3.102,3.213,-0.40 %,"58° 57' 4.916""",<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,113
0+342.35,Fitting - (165),Codo,367981.3189,4057696.9788,,3.112,,,,<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,165
0+346.15,Fitting - (166),Codo,367984.0642,4057699.5999,,3.127,,,,<Ninguno>,,,,FD200 PROPUESTO2,,,,,,,,,FD200 PROPUESTO,166
