Dibujo:,ABASTECIMIENTO.dwg
Ruta de dibujo:,Z:\PROYECTO 535\535.2\535.2.1 Proyecto de Urbanización\PLANOS\04_CIVIL3D\ABASTECIMIENTO.dwg
Fecha del informe:,29/04/2026
Notificado por:,USUARIO
Versión del informe:,1.0 (B)

ABASTECIMIENTO
Nombre de la red de tuberías a presión,Descripción,Lista de piezas,Tuberías,Accesorios,Elementos hidromecánicos,Tramos de tubería,Superficie de referencia por defecto,Alineación de referencia por defecto,Elevación mínima,Elevación máxima,Estilo de etiqueta de tuberías en planta,Estilo de etiqueta de accesorio en planta,Estilo de etiqueta de elemento hidromecánico en planta,Capa de tuberías en planta,Capa de accesorio en planta,Capa de elemento hidromecánico en planta,Infracciones
ABASTECIMIENTO,<Ninguno>,ESPAÑA,124,112,4,10,PROPUESTA,<Ninguno>,-1.163,8.827,<Ninguno>,<Ninguno>,<Ninguno>,C-WATR-PIPE,C-WATR-FITT,C-WATR-APPT,0

ABASTECIMIENTO
Nombre de accesorio,Descripción,Estilo de accesorio,Tipo de pieza,Diámetro nominal,Alineación de referencia,Superficie de referencia,P.K.,Desfase,Abscisa,Ordenada,Elevación,Ángulo horizontal,Ángulo vertical,Conexiones,Material,Descripción de pieza,Infracciones,Conjuntos de propiedades
Fitting - (82),Bend 11.25_ DN 200_  [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,368105.0208,4058442.3690,5.089,11° 14' 59.523",0° 4' 57.581",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (83),Bend 11.25_ DN 200_  [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,368121.9246,4058460.6453,4.948,11° 14' 47.240",0° 17' 17.966",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (84),Bend 11.25_ DN 200_  [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,368144.7774,4058483.9064,4.789,11° 14' 43.249",0° 19' 38.326",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (85),Bend 11.25_ DN 200_  [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,368166.7573,4058504.9732,4.668,11° 14' 59.236",0° 4' 54.070",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (86),Bend 90_ DN 200_ Soc [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,368193.8343,4058528.0701,4.511,90° 0' 4.028",0° 1' 5.770",2,ByLayer,Bend 90_ DN 200_ Socket,0,0
Fitting - (87),Bend 11.25_ DN 200_  [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,368223.2328,4058497.9229,4.312,11° 13' 20.850",0° 47' 17.371",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (88),Bend 11.25_ DN 200_  [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,368295.6619,4058448.3508,5.119,0° 0' 0.000",11° 14' 59.945",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (89),Bend 11.25_ DN 200_  [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,368297.5681,4058437.8577,4.585,0° 0' 0.000",11° 14' 59.945",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (90),Bend 90_ DN 200_ Soc [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,368085.5728,4058135.3211,5.363,90° 0' 1.837",0° 7' 20.081",2,ByLayer,Bend 90_ DN 200_ Socket,0,0
Fitting - (91),Tee (Red)_ DN 300x20 [...],Estándar,Unión en T,300 x 200,<Ninguno>,PROPUESTA,,,367524.2875,4057689.4338,1.096,,,3,ByLayer,Tee (Red)_ DN 300x200_ PN 16_ RF,0,0
