;;Desgaste de Los Angeles;UNE-EN 1097-2;1;20000;m³;6209.6;m³;1;49;49;PAV003 (LM-1.03)
;;Índice de lajas;UNE-EN 933-3;1;20000;m³;6209.6;m³;1;35;35;PAV003 (LM-1.03)
;;Contenido en azufre;UNE-EN 1744-1;1;20000;m³;6209.6;m³;1;40;40;PAV003 (LM-1.03)
;;3.2.- Compactación;;;;;;;;;;
;;Densidad y humedad in situ;ASTM-D-3017;7;3500;m²;6209.6;m²;38;26;988;PAV003 (LM-1.03)
;;Deformabilidad;NLT- 357 (PLACA DE CARGA);1;3500;m²;6209.6;m²;5;172.5;862.5;PAV003 (LM-1.03)
;;;;;;;;TOTAL CAPÍTULO 3;TOTAL CAPÍTULO 3;TOTAL CAPÍTULO 3;2743.5;
;;ENSAYO;NORMA O PROCEDIMIENTO;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;
;;ENSAYO;NORMA O PROCEDIMIENTO;ENSAYOS;ENSAYOS;ENSAYOS;PROYECTO;PROYECTO;TOTAL ENSAYOS;PRECIO UNITARIO;IMPORTE;
;;ENSAYO;NORMA O PROCEDIMIENTO;Nº;TAMAÑO LOTE;UD;MEDICIÓN;UD;TOTAL ENSAYOS;PRECIO UNITARIO;IMPORTE;
